split,prompt,answer,corrupted_prompt
train,Solve the following and respond with only the final answer: What is 88 plus 93?,181,Solve the following and respond with only the final answer: What is 88 plus 48?
train,Solve the following and respond with only the final answer: What is 70 plus 21?,91,Solve the following and respond with only the final answer: What is 70 plus 10?
train,Solve the following and respond with only the final answer: 46+33=,79,Solve the following and respond with only the final answer: 46+77=
train,Solve the following and respond with only the final answer: 27+54=,81,Solve the following and respond with only the final answer: 27+46=
train,Solve the following and respond with only the final answer: What is 64 plus 68?,132,Solve the following and respond with only the final answer: What is 64 plus 50?
train,Solve the following and respond with only the final answer: 75+16=,91,Solve the following and respond with only the final answer: 75+58=
train,Solve the following and respond with only the final answer: 37+93=,130,Solve the following and respond with only the final answer: 37+49=
train,Solve the following and respond with only the final answer: What is 12 plus 21?,33,Solve the following and respond with only the final answer: What is 12 plus 23?
train,Solve the following and respond with only the final answer: 64+57=,121,Solve the following and respond with only the final answer: 64+79=
train,Solve the following and respond with only the final answer: What is 42 plus 40?,82,Solve the following and respond with only the final answer: What is 42 plus 46?
test,Solve the following and respond with only the final answer: What is 50 plus 53?,103,Solve the following and respond with only the final answer: What is 50 plus 72?
train,Solve the following and respond with only the final answer: 53+44=,97,Solve the following and respond with only the final answer: 53+79=
train,Solve the following and respond with only the final answer: What is 59 plus 46?,105,Solve the following and respond with only the final answer: What is 59 plus 96?
train,Solve the following and respond with only the final answer: 74+63=,137,Solve the following and respond with only the final answer: 74+52=
train,Solve the following and respond with only the final answer: What is 32 plus 78?,110,Solve the following and respond with only the final answer: What is 32 plus 88?
train,Solve the following and respond with only the final answer: What is 22 plus 30?,52,Solve the following and respond with only the final answer: What is 22 plus 51?
train,Solve the following and respond with only the final answer: 87+52=,139,Solve the following and respond with only the final answer: 87+52=
train,Solve the following and respond with only the final answer: What is 54 plus 82?,136,Solve the following and respond with only the final answer: What is 54 plus 73?
train,Solve the following and respond with only the final answer: 93+84=,177,Solve the following and respond with only the final answer: 93+25=
train,Solve the following and respond with only the final answer: What is 87 plus 57?,144,Solve the following and respond with only the final answer: What is 87 plus 47?
train,Solve the following and respond with only the final answer: 83+14=,97,Solve the following and respond with only the final answer: 83+44=
train,Solve the following and respond with only the final answer: 89+23=,112,Solve the following and respond with only the final answer: 89+63=
train,Solve the following and respond with only the final answer: 76+71=,147,Solve the following and respond with only the final answer: 76+20=
train,Solve the following and respond with only the final answer: 36+93=,129,Solve the following and respond with only the final answer: 36+75=
train,Solve the following and respond with only the final answer: 95+63=,158,Solve the following and respond with only the final answer: 95+64=
train,Solve the following and respond with only the final answer: What is 92 plus 49?,141,Solve the following and respond with only the final answer: What is 92 plus 54?
train,Solve the following and respond with only the final answer: What is 22 plus 62?,84,Solve the following and respond with only the final answer: What is 22 plus 39?
train,Solve the following and respond with only the final answer: 81+83=,164,Solve the following and respond with only the final answer: 81+78=
train,Solve the following and respond with only the final answer: What is 23 plus 70?,93,Solve the following and respond with only the final answer: What is 23 plus 89?
train,Solve the following and respond with only the final answer: 68+52=,120,Solve the following and respond with only the final answer: 68+11=
test,Solve the following and respond with only the final answer: 74+72=,146,Solve the following and respond with only the final answer: 74+95=
train,Solve the following and respond with only the final answer: 87+46=,133,Solve the following and respond with only the final answer: 87+37=
train,Solve the following and respond with only the final answer: What is 78 plus 29?,107,Solve the following and respond with only the final answer: What is 78 plus 71?
train,Solve the following and respond with only the final answer: 96+63=,159,Solve the following and respond with only the final answer: 96+70=
train,Solve the following and respond with only the final answer: What is 88 plus 53?,141,Solve the following and respond with only the final answer: What is 88 plus 77?
train,Solve the following and respond with only the final answer: 83+19=,102,Solve the following and respond with only the final answer: 83+55=
train,Solve the following and respond with only the final answer: What is 74 plus 37?,111,Solve the following and respond with only the final answer: What is 74 plus 38?
train,Solve the following and respond with only the final answer: What is 27 plus 97?,124,Solve the following and respond with only the final answer: What is 27 plus 82?
train,Solve the following and respond with only the final answer: 53+75=,128,Solve the following and respond with only the final answer: 53+77=
train,Solve the following and respond with only the final answer: 13+82=,95,Solve the following and respond with only the final answer: 13+53=
train,Solve the following and respond with only the final answer: 30+85=,115,Solve the following and respond with only the final answer: 30+46=
train,Solve the following and respond with only the final answer: 90+84=,174,Solve the following and respond with only the final answer: 90+33=
train,Solve the following and respond with only the final answer: What is 34 plus 92?,126,Solve the following and respond with only the final answer: What is 34 plus 71?
train,Solve the following and respond with only the final answer: 59+44=,103,Solve the following and respond with only the final answer: 59+19=
train,Solve the following and respond with only the final answer: What is 84 plus 71?,155,Solve the following and respond with only the final answer: What is 84 plus 36?
train,Solve the following and respond with only the final answer: What is 98 plus 86?,184,Solve the following and respond with only the final answer: What is 98 plus 72?
train,Solve the following and respond with only the final answer: What is 57 plus 51?,108,Solve the following and respond with only the final answer: What is 57 plus 92?
train,Solve the following and respond with only the final answer: What is 90 plus 60?,150,Solve the following and respond with only the final answer: What is 90 plus 87?
train,Solve the following and respond with only the final answer: 84+34=,118,Solve the following and respond with only the final answer: 84+43=
train,Solve the following and respond with only the final answer: What is 18 plus 25?,43,Solve the following and respond with only the final answer: What is 18 plus 41?
train,Solve the following and respond with only the final answer: What is 28 plus 32?,60,Solve the following and respond with only the final answer: What is 28 plus 22?
train,Solve the following and respond with only the final answer: What is 19 plus 77?,96,Solve the following and respond with only the final answer: What is 19 plus 76?
train,Solve the following and respond with only the final answer: What is 67 plus 29?,96,Solve the following and respond with only the final answer: What is 67 plus 96?
train,Solve the following and respond with only the final answer: 65+41=,106,Solve the following and respond with only the final answer: 65+82=
train,Solve the following and respond with only the final answer: 51+66=,117,Solve the following and respond with only the final answer: 51+23=
train,Solve the following and respond with only the final answer: What is 22 plus 18?,40,Solve the following and respond with only the final answer: What is 22 plus 42?
train,Solve the following and respond with only the final answer: 88+31=,119,Solve the following and respond with only the final answer: 88+38=
train,Solve the following and respond with only the final answer: What is 94 plus 37?,131,Solve the following and respond with only the final answer: What is 94 plus 13?
train,Solve the following and respond with only the final answer: What is 66 plus 59?,125,Solve the following and respond with only the final answer: What is 66 plus 38?
train,Solve the following and respond with only the final answer: 75+70=,145,Solve the following and respond with only the final answer: 75+97=
train,Solve the following and respond with only the final answer: 51+96=,147,Solve the following and respond with only the final answer: 51+85=
train,Solve the following and respond with only the final answer: 80+64=,144,Solve the following and respond with only the final answer: 80+70=
train,Solve the following and respond with only the final answer: What is 84 plus 70?,154,Solve the following and respond with only the final answer: What is 84 plus 26?
train,Solve the following and respond with only the final answer: 83+58=,141,Solve the following and respond with only the final answer: 83+73=
train,Solve the following and respond with only the final answer: What is 81 plus 14?,95,Solve the following and respond with only the final answer: What is 81 plus 85?
train,Solve the following and respond with only the final answer: 96+39=,135,Solve the following and respond with only the final answer: 96+61=
train,Solve the following and respond with only the final answer: What is 63 plus 11?,74,Solve the following and respond with only the final answer: What is 63 plus 11?
train,Solve the following and respond with only the final answer: 70+22=,92,Solve the following and respond with only the final answer: 70+26=
train,Solve the following and respond with only the final answer: 77+89=,166,Solve the following and respond with only the final answer: 77+58=
train,Solve the following and respond with only the final answer: 62+63=,125,Solve the following and respond with only the final answer: 62+41=
train,Solve the following and respond with only the final answer: 85+37=,122,Solve the following and respond with only the final answer: 85+68=
train,Solve the following and respond with only the final answer: 95+29=,124,Solve the following and respond with only the final answer: 95+71=
train,Solve the following and respond with only the final answer: What is 37 plus 80?,117,Solve the following and respond with only the final answer: What is 37 plus 28?
test,Solve the following and respond with only the final answer: 85+96=,181,Solve the following and respond with only the final answer: 85+34=
train,Solve the following and respond with only the final answer: What is 20 plus 13?,33,Solve the following and respond with only the final answer: What is 20 plus 29?
train,Solve the following and respond with only the final answer: What is 52 plus 23?,75,Solve the following and respond with only the final answer: What is 52 plus 94?
train,Solve the following and respond with only the final answer: 96+80=,176,Solve the following and respond with only the final answer: 96+73=
train,Solve the following and respond with only the final answer: 65+48=,113,Solve the following and respond with only the final answer: 65+16=
train,Solve the following and respond with only the final answer: 97+76=,173,Solve the following and respond with only the final answer: 97+98=
train,Solve the following and respond with only the final answer: What is 35 plus 25?,60,Solve the following and respond with only the final answer: What is 35 plus 24?
train,Solve the following and respond with only the final answer: What is 68 plus 80?,148,Solve the following and respond with only the final answer: What is 68 plus 22?
train,Solve the following and respond with only the final answer: What is 45 plus 55?,100,Solve the following and respond with only the final answer: What is 45 plus 62?
train,Solve the following and respond with only the final answer: 46+99=,145,Solve the following and respond with only the final answer: 46+51=
train,Solve the following and respond with only the final answer: 94+70=,164,Solve the following and respond with only the final answer: 94+52=
train,Solve the following and respond with only the final answer: 54+70=,124,Solve the following and respond with only the final answer: 54+78=
train,Solve the following and respond with only the final answer: What is 47 plus 65?,112,Solve the following and respond with only the final answer: What is 47 plus 90?
train,Solve the following and respond with only the final answer: What is 29 plus 36?,65,Solve the following and respond with only the final answer: What is 29 plus 53?
train,Solve the following and respond with only the final answer: What is 28 plus 68?,96,Solve the following and respond with only the final answer: What is 28 plus 13?
test,Solve the following and respond with only the final answer: What is 60 plus 90?,150,Solve the following and respond with only the final answer: What is 60 plus 81?
train,Solve the following and respond with only the final answer: 61+27=,88,Solve the following and respond with only the final answer: 61+27=
train,Solve the following and respond with only the final answer: 56+97=,153,Solve the following and respond with only the final answer: 56+77=
train,Solve the following and respond with only the final answer: What is 77 plus 53?,130,Solve the following and respond with only the final answer: What is 77 plus 28?
train,Solve the following and respond with only the final answer: What is 42 plus 41?,83,Solve the following and respond with only the final answer: What is 42 plus 72?
train,Solve the following and respond with only the final answer: 79+64=,143,Solve the following and respond with only the final answer: 79+22=
train,Solve the following and respond with only the final answer: 47+24=,71,Solve the following and respond with only the final answer: 47+95=
train,Solve the following and respond with only the final answer: What is 82 plus 13?,95,Solve the following and respond with only the final answer: What is 82 plus 90?
train,Solve the following and respond with only the final answer: What is 52 plus 43?,95,Solve the following and respond with only the final answer: What is 52 plus 49?
train,Solve the following and respond with only the final answer: What is 89 plus 11?,100,Solve the following and respond with only the final answer: What is 89 plus 76?
train,Solve the following and respond with only the final answer: What is 47 plus 22?,69,Solve the following and respond with only the final answer: What is 47 plus 27?
train,Solve the following and respond with only the final answer: What is 74 plus 17?,91,Solve the following and respond with only the final answer: What is 74 plus 47?
train,Solve the following and respond with only the final answer: 10+87=,97,Solve the following and respond with only the final answer: 10+60=
train,Solve the following and respond with only the final answer: What is 87 plus 33?,120,Solve the following and respond with only the final answer: What is 87 plus 78?
train,Solve the following and respond with only the final answer: 85+59=,144,Solve the following and respond with only the final answer: 85+43=
train,Solve the following and respond with only the final answer: 80+57=,137,Solve the following and respond with only the final answer: 80+25=
train,Solve the following and respond with only the final answer: 88+59=,147,Solve the following and respond with only the final answer: 88+66=
train,Solve the following and respond with only the final answer: What is 36 plus 95?,131,Solve the following and respond with only the final answer: What is 36 plus 34?
train,Solve the following and respond with only the final answer: What is 49 plus 31?,80,Solve the following and respond with only the final answer: What is 49 plus 61?
train,Solve the following and respond with only the final answer: 91+16=,107,Solve the following and respond with only the final answer: 91+55=
train,Solve the following and respond with only the final answer: What is 17 plus 74?,91,Solve the following and respond with only the final answer: What is 17 plus 31?
test,Solve the following and respond with only the final answer: What is 93 plus 37?,130,Solve the following and respond with only the final answer: What is 93 plus 99?
train,Solve the following and respond with only the final answer: What is 88 plus 14?,102,Solve the following and respond with only the final answer: What is 88 plus 85?
train,Solve the following and respond with only the final answer: What is 49 plus 39?,88,Solve the following and respond with only the final answer: What is 49 plus 36?
train,Solve the following and respond with only the final answer: 54+81=,135,Solve the following and respond with only the final answer: 54+69=
train,Solve the following and respond with only the final answer: What is 85 plus 85?,170,Solve the following and respond with only the final answer: What is 85 plus 68?
test,Solve the following and respond with only the final answer: What is 94 plus 74?,168,Solve the following and respond with only the final answer: What is 94 plus 42?
train,Solve the following and respond with only the final answer: What is 43 plus 46?,89,Solve the following and respond with only the final answer: What is 43 plus 15?
train,Solve the following and respond with only the final answer: What is 32 plus 67?,99,Solve the following and respond with only the final answer: What is 32 plus 57?
train,Solve the following and respond with only the final answer: What is 98 plus 81?,179,Solve the following and respond with only the final answer: What is 98 plus 90?
test,Solve the following and respond with only the final answer: What is 41 plus 68?,109,Solve the following and respond with only the final answer: What is 41 plus 39?
train,Solve the following and respond with only the final answer: 47+94=,141,Solve the following and respond with only the final answer: 47+77=
train,Solve the following and respond with only the final answer: 53+24=,77,Solve the following and respond with only the final answer: 53+21=
train,Solve the following and respond with only the final answer: 99+31=,130,Solve the following and respond with only the final answer: 99+87=
train,Solve the following and respond with only the final answer: 42+64=,106,Solve the following and respond with only the final answer: 42+56=
train,Solve the following and respond with only the final answer: 75+80=,155,Solve the following and respond with only the final answer: 75+55=
train,Solve the following and respond with only the final answer: 33+62=,95,Solve the following and respond with only the final answer: 33+59=
train,Solve the following and respond with only the final answer: What is 58 plus 30?,88,Solve the following and respond with only the final answer: What is 58 plus 72?
test,Solve the following and respond with only the final answer: What is 86 plus 76?,162,Solve the following and respond with only the final answer: What is 86 plus 52?
train,Solve the following and respond with only the final answer: What is 34 plus 55?,89,Solve the following and respond with only the final answer: What is 34 plus 66?
train,Solve the following and respond with only the final answer: What is 84 plus 18?,102,Solve the following and respond with only the final answer: What is 84 plus 60?
train,Solve the following and respond with only the final answer: 49+23=,72,Solve the following and respond with only the final answer: 49+92=
train,Solve the following and respond with only the final answer: 11+45=,56,Solve the following and respond with only the final answer: 11+21=
train,Solve the following and respond with only the final answer: 84+35=,119,Solve the following and respond with only the final answer: 84+98=
train,Solve the following and respond with only the final answer: 63+99=,162,Solve the following and respond with only the final answer: 63+71=
train,Solve the following and respond with only the final answer: What is 92 plus 21?,113,Solve the following and respond with only the final answer: What is 92 plus 65?
train,Solve the following and respond with only the final answer: 60+93=,153,Solve the following and respond with only the final answer: 60+63=
train,Solve the following and respond with only the final answer: What is 23 plus 94?,117,Solve the following and respond with only the final answer: What is 23 plus 44?
train,Solve the following and respond with only the final answer: 24+51=,75,Solve the following and respond with only the final answer: 24+55=
train,Solve the following and respond with only the final answer: What is 84 plus 32?,116,Solve the following and respond with only the final answer: What is 84 plus 22?
train,Solve the following and respond with only the final answer: What is 68 plus 45?,113,Solve the following and respond with only the final answer: What is 68 plus 29?
train,Solve the following and respond with only the final answer: What is 97 plus 17?,114,Solve the following and respond with only the final answer: What is 97 plus 21?
train,Solve the following and respond with only the final answer: What is 21 plus 27?,48,Solve the following and respond with only the final answer: What is 21 plus 80?
train,Solve the following and respond with only the final answer: What is 23 plus 23?,46,Solve the following and respond with only the final answer: What is 23 plus 83?
train,Solve the following and respond with only the final answer: 55+65=,120,Solve the following and respond with only the final answer: 55+51=
train,Solve the following and respond with only the final answer: 47+76=,123,Solve the following and respond with only the final answer: 47+83=
train,Solve the following and respond with only the final answer: 46+57=,103,Solve the following and respond with only the final answer: 46+36=
train,Solve the following and respond with only the final answer: What is 59 plus 93?,152,Solve the following and respond with only the final answer: What is 59 plus 57?
train,Solve the following and respond with only the final answer: 31+91=,122,Solve the following and respond with only the final answer: 31+44=
train,Solve the following and respond with only the final answer: What is 34 plus 85?,119,Solve the following and respond with only the final answer: What is 34 plus 50?
train,Solve the following and respond with only the final answer: What is 20 plus 62?,82,Solve the following and respond with only the final answer: What is 20 plus 43?
train,Solve the following and respond with only the final answer: What is 74 plus 48?,122,Solve the following and respond with only the final answer: What is 74 plus 90?
train,Solve the following and respond with only the final answer: What is 88 plus 45?,133,Solve the following and respond with only the final answer: What is 88 plus 47?
test,Solve the following and respond with only the final answer: What is 35 plus 83?,118,Solve the following and respond with only the final answer: What is 35 plus 97?
train,Solve the following and respond with only the final answer: 41+11=,52,Solve the following and respond with only the final answer: 41+56=
train,Solve the following and respond with only the final answer: 72+39=,111,Solve the following and respond with only the final answer: 72+23=
test,Solve the following and respond with only the final answer: What is 61 plus 40?,101,Solve the following and respond with only the final answer: What is 61 plus 26?
train,Solve the following and respond with only the final answer: What is 55 plus 86?,141,Solve the following and respond with only the final answer: What is 55 plus 41?
train,Solve the following and respond with only the final answer: What is 38 plus 11?,49,Solve the following and respond with only the final answer: What is 38 plus 56?
train,Solve the following and respond with only the final answer: 46+49=,95,Solve the following and respond with only the final answer: 46+89=
train,Solve the following and respond with only the final answer: What is 38 plus 60?,98,Solve the following and respond with only the final answer: What is 38 plus 96?
train,Solve the following and respond with only the final answer: What is 55 plus 45?,100,Solve the following and respond with only the final answer: What is 55 plus 71?
train,Solve the following and respond with only the final answer: 56+28=,84,Solve the following and respond with only the final answer: 56+16=
train,Solve the following and respond with only the final answer: 29+74=,103,Solve the following and respond with only the final answer: 29+14=
train,Solve the following and respond with only the final answer: 71+94=,165,Solve the following and respond with only the final answer: 71+98=
train,Solve the following and respond with only the final answer: What is 65 plus 98?,163,Solve the following and respond with only the final answer: What is 65 plus 49?
train,Solve the following and respond with only the final answer: 47+85=,132,Solve the following and respond with only the final answer: 47+73=
train,Solve the following and respond with only the final answer: What is 21 plus 48?,69,Solve the following and respond with only the final answer: What is 21 plus 69?
train,Solve the following and respond with only the final answer: What is 51 plus 41?,92,Solve the following and respond with only the final answer: What is 51 plus 76?
train,Solve the following and respond with only the final answer: 70+95=,165,Solve the following and respond with only the final answer: 70+56=
train,Solve the following and respond with only the final answer: 58+79=,137,Solve the following and respond with only the final answer: 58+48=
train,Solve the following and respond with only the final answer: What is 72 plus 35?,107,Solve the following and respond with only the final answer: What is 72 plus 64?
train,Solve the following and respond with only the final answer: 12+56=,68,Solve the following and respond with only the final answer: 12+92=
train,Solve the following and respond with only the final answer: 22+85=,107,Solve the following and respond with only the final answer: 22+36=
train,Solve the following and respond with only the final answer: What is 99 plus 44?,143,Solve the following and respond with only the final answer: What is 99 plus 69?
train,Solve the following and respond with only the final answer: What is 60 plus 94?,154,Solve the following and respond with only the final answer: What is 60 plus 77?
train,Solve the following and respond with only the final answer: 70+23=,93,Solve the following and respond with only the final answer: 70+77=
train,Solve the following and respond with only the final answer: What is 44 plus 64?,108,Solve the following and respond with only the final answer: What is 44 plus 31?
train,Solve the following and respond with only the final answer: What is 34 plus 84?,118,Solve the following and respond with only the final answer: What is 34 plus 88?
train,Solve the following and respond with only the final answer: What is 62 plus 64?,126,Solve the following and respond with only the final answer: What is 62 plus 64?
test,Solve the following and respond with only the final answer: 57+12=,69,Solve the following and respond with only the final answer: 57+82=
train,Solve the following and respond with only the final answer: 42+48=,90,Solve the following and respond with only the final answer: 42+40=
test,Solve the following and respond with only the final answer: What is 24 plus 76?,100,Solve the following and respond with only the final answer: What is 24 plus 76?
train,Solve the following and respond with only the final answer: What is 80 plus 96?,176,Solve the following and respond with only the final answer: What is 80 plus 55?
train,Solve the following and respond with only the final answer: 77+59=,136,Solve the following and respond with only the final answer: 77+54=
train,Solve the following and respond with only the final answer: What is 90 plus 74?,164,Solve the following and respond with only the final answer: What is 90 plus 89?
train,Solve the following and respond with only the final answer: What is 26 plus 52?,78,Solve the following and respond with only the final answer: What is 26 plus 84?
train,Solve the following and respond with only the final answer: What is 33 plus 36?,69,Solve the following and respond with only the final answer: What is 33 plus 22?
train,Solve the following and respond with only the final answer: What is 47 plus 79?,126,Solve the following and respond with only the final answer: What is 47 plus 74?
train,Solve the following and respond with only the final answer: 23+51=,74,Solve the following and respond with only the final answer: 23+30=
train,Solve the following and respond with only the final answer: What is 64 plus 71?,135,Solve the following and respond with only the final answer: What is 64 plus 38?
train,Solve the following and respond with only the final answer: What is 34 plus 65?,99,Solve the following and respond with only the final answer: What is 34 plus 44?
train,Solve the following and respond with only the final answer: What is 56 plus 44?,100,Solve the following and respond with only the final answer: What is 56 plus 64?
train,Solve the following and respond with only the final answer: What is 18 plus 31?,49,Solve the following and respond with only the final answer: What is 18 plus 59?
train,Solve the following and respond with only the final answer: 32+94=,126,Solve the following and respond with only the final answer: 32+38=
test,Solve the following and respond with only the final answer: What is 79 plus 39?,118,Solve the following and respond with only the final answer: What is 79 plus 59?
train,Solve the following and respond with only the final answer: What is 87 plus 63?,150,Solve the following and respond with only the final answer: What is 87 plus 63?
train,Solve the following and respond with only the final answer: What is 21 plus 81?,102,Solve the following and respond with only the final answer: What is 21 plus 82?
train,Solve the following and respond with only the final answer: What is 91 plus 48?,139,Solve the following and respond with only the final answer: What is 91 plus 51?
train,Solve the following and respond with only the final answer: 82+78=,160,Solve the following and respond with only the final answer: 82+25=
train,Solve the following and respond with only the final answer: 88+59=,147,Solve the following and respond with only the final answer: 88+63=
train,Solve the following and respond with only the final answer: 14+79=,93,Solve the following and respond with only the final answer: 14+21=
train,Solve the following and respond with only the final answer: 11+47=,58,Solve the following and respond with only the final answer: 11+47=
train,Solve the following and respond with only the final answer: What is 59 plus 37?,96,Solve the following and respond with only the final answer: What is 59 plus 49?
train,Solve the following and respond with only the final answer: 91+52=,143,Solve the following and respond with only the final answer: 91+26=
train,Solve the following and respond with only the final answer: 97+22=,119,Solve the following and respond with only the final answer: 97+27=
train,Solve the following and respond with only the final answer: What is 75 plus 61?,136,Solve the following and respond with only the final answer: What is 75 plus 45?
train,Solve the following and respond with only the final answer: What is 47 plus 92?,139,Solve the following and respond with only the final answer: What is 47 plus 33?
train,Solve the following and respond with only the final answer: 13+51=,64,Solve the following and respond with only the final answer: 13+85=
train,Solve the following and respond with only the final answer: 19+94=,113,Solve the following and respond with only the final answer: 19+30=
test,Solve the following and respond with only the final answer: What is 65 plus 92?,157,Solve the following and respond with only the final answer: What is 65 plus 68?
train,Solve the following and respond with only the final answer: 86+33=,119,Solve the following and respond with only the final answer: 86+95=
train,Solve the following and respond with only the final answer: 77+52=,129,Solve the following and respond with only the final answer: 77+67=
train,Solve the following and respond with only the final answer: 44+60=,104,Solve the following and respond with only the final answer: 44+54=
train,Solve the following and respond with only the final answer: What is 56 plus 36?,92,Solve the following and respond with only the final answer: What is 56 plus 65?
train,Solve the following and respond with only the final answer: 51+70=,121,Solve the following and respond with only the final answer: 51+80=
train,Solve the following and respond with only the final answer: What is 18 plus 55?,73,Solve the following and respond with only the final answer: What is 18 plus 19?
train,Solve the following and respond with only the final answer: 10+63=,73,Solve the following and respond with only the final answer: 10+24=
train,Solve the following and respond with only the final answer: 45+13=,58,Solve the following and respond with only the final answer: 45+64=
train,Solve the following and respond with only the final answer: 47+42=,89,Solve the following and respond with only the final answer: 47+78=
train,Solve the following and respond with only the final answer: 84+70=,154,Solve the following and respond with only the final answer: 84+37=
train,Solve the following and respond with only the final answer: 50+73=,123,Solve the following and respond with only the final answer: 50+96=
test,Solve the following and respond with only the final answer: What is 56 plus 50?,106,Solve the following and respond with only the final answer: What is 56 plus 43?
train,Solve the following and respond with only the final answer: What is 23 plus 19?,42,Solve the following and respond with only the final answer: What is 23 plus 14?
train,Solve the following and respond with only the final answer: 17+64=,81,Solve the following and respond with only the final answer: 17+23=
train,Solve the following and respond with only the final answer: 81+80=,161,Solve the following and respond with only the final answer: 81+49=
test,Solve the following and respond with only the final answer: 79+93=,172,Solve the following and respond with only the final answer: 79+82=
test,Solve the following and respond with only the final answer: What is 61 plus 94?,155,Solve the following and respond with only the final answer: What is 61 plus 34?
test,Solve the following and respond with only the final answer: What is 84 plus 56?,140,Solve the following and respond with only the final answer: What is 84 plus 84?
train,Solve the following and respond with only the final answer: What is 93 plus 41?,134,Solve the following and respond with only the final answer: What is 93 plus 56?
train,Solve the following and respond with only the final answer: 51+50=,101,Solve the following and respond with only the final answer: 51+57=
train,Solve the following and respond with only the final answer: What is 65 plus 19?,84,Solve the following and respond with only the final answer: What is 65 plus 23?
train,Solve the following and respond with only the final answer: 76+51=,127,Solve the following and respond with only the final answer: 76+20=
train,Solve the following and respond with only the final answer: 75+29=,104,Solve the following and respond with only the final answer: 75+67=
train,Solve the following and respond with only the final answer: 18+29=,47,Solve the following and respond with only the final answer: 18+55=
train,Solve the following and respond with only the final answer: 21+19=,40,Solve the following and respond with only the final answer: 21+81=
train,Solve the following and respond with only the final answer: What is 50 plus 56?,106,Solve the following and respond with only the final answer: What is 50 plus 84?
test,Solve the following and respond with only the final answer: What is 27 plus 85?,112,Solve the following and respond with only the final answer: What is 27 plus 22?
train,Solve the following and respond with only the final answer: What is 88 plus 19?,107,Solve the following and respond with only the final answer: What is 88 plus 14?
train,Solve the following and respond with only the final answer: 27+24=,51,Solve the following and respond with only the final answer: 27+40=
train,Solve the following and respond with only the final answer: 15+92=,107,Solve the following and respond with only the final answer: 15+73=
train,Solve the following and respond with only the final answer: What is 56 plus 98?,154,Solve the following and respond with only the final answer: What is 56 plus 57?
train,Solve the following and respond with only the final answer: 76+80=,156,Solve the following and respond with only the final answer: 76+95=
train,Solve the following and respond with only the final answer: 73+98=,171,Solve the following and respond with only the final answer: 73+90=
train,Solve the following and respond with only the final answer: What is 17 plus 85?,102,Solve the following and respond with only the final answer: What is 17 plus 36?
train,Solve the following and respond with only the final answer: What is 28 plus 57?,85,Solve the following and respond with only the final answer: What is 28 plus 31?
train,Solve the following and respond with only the final answer: What is 14 plus 11?,25,Solve the following and respond with only the final answer: What is 14 plus 38?
test,Solve the following and respond with only the final answer: What is 47 plus 99?,146,Solve the following and respond with only the final answer: What is 47 plus 71?
train,Solve the following and respond with only the final answer: 24+79=,103,Solve the following and respond with only the final answer: 24+13=
train,Solve the following and respond with only the final answer: 90+30=,120,Solve the following and respond with only the final answer: 90+34=
train,Solve the following and respond with only the final answer: 88+96=,184,Solve the following and respond with only the final answer: 88+20=
train,Solve the following and respond with only the final answer: 45+28=,73,Solve the following and respond with only the final answer: 45+70=
train,Solve the following and respond with only the final answer: What is 56 plus 63?,119,Solve the following and respond with only the final answer: What is 56 plus 43?
train,Solve the following and respond with only the final answer: What is 68 plus 93?,161,Solve the following and respond with only the final answer: What is 68 plus 34?
train,Solve the following and respond with only the final answer: 77+68=,145,Solve the following and respond with only the final answer: 77+91=
test,Solve the following and respond with only the final answer: What is 96 plus 21?,117,Solve the following and respond with only the final answer: What is 96 plus 44?
train,Solve the following and respond with only the final answer: 63+62=,125,Solve the following and respond with only the final answer: 63+87=
train,Solve the following and respond with only the final answer: 82+48=,130,Solve the following and respond with only the final answer: 82+39=
train,Solve the following and respond with only the final answer: What is 22 plus 47?,69,Solve the following and respond with only the final answer: What is 22 plus 48?
train,Solve the following and respond with only the final answer: 40+33=,73,Solve the following and respond with only the final answer: 40+53=
train,Solve the following and respond with only the final answer: What is 90 plus 29?,119,Solve the following and respond with only the final answer: What is 90 plus 57?
train,Solve the following and respond with only the final answer: What is 13 plus 67?,80,Solve the following and respond with only the final answer: What is 13 plus 39?
train,Solve the following and respond with only the final answer: 95+93=,188,Solve the following and respond with only the final answer: 95+10=
train,Solve the following and respond with only the final answer: 73+66=,139,Solve the following and respond with only the final answer: 73+21=
train,Solve the following and respond with only the final answer: What is 70 plus 76?,146,Solve the following and respond with only the final answer: What is 70 plus 29?
train,Solve the following and respond with only the final answer: What is 31 plus 52?,83,Solve the following and respond with only the final answer: What is 31 plus 73?
train,Solve the following and respond with only the final answer: What is 26 plus 32?,58,Solve the following and respond with only the final answer: What is 26 plus 12?
train,Solve the following and respond with only the final answer: 31+69=,100,Solve the following and respond with only the final answer: 31+45=
train,Solve the following and respond with only the final answer: 27+55=,82,Solve the following and respond with only the final answer: 27+56=
train,Solve the following and respond with only the final answer: 52+27=,79,Solve the following and respond with only the final answer: 52+72=
train,Solve the following and respond with only the final answer: What is 24 plus 42?,66,Solve the following and respond with only the final answer: What is 24 plus 40?
train,Solve the following and respond with only the final answer: 42+40=,82,Solve the following and respond with only the final answer: 42+92=
train,Solve the following and respond with only the final answer: What is 58 plus 69?,127,Solve the following and respond with only the final answer: What is 58 plus 86?
train,Solve the following and respond with only the final answer: 49+87=,136,Solve the following and respond with only the final answer: 49+93=
train,Solve the following and respond with only the final answer: What is 60 plus 72?,132,Solve the following and respond with only the final answer: What is 60 plus 38?
